asset,asset_type,strategy_total_return,buy_hold_total_return,strategy_volatility,strategy_sharpe,max_drawdown,number_of_trades,win_rate
AAPL,Stock,0.46389785989419763,5.016780343810944,0.11140335381407986,0.47775780761402553,-0.1375157885998079,195.0,0.5073375262054507
AMZN,Stock,0.46324972596463354,2.27041044951083,0.1471901126576835,0.39263156332833316,-0.2671104537143207,202.0,0.5121495327102804
BNB,Cryptocurrency,2.3372614253830997,59.87254175615355,0.2811335174238843,0.5002993441623682,-0.37014438359668095,236.0,0.5408921933085502
BTC,Cryptocurrency,1.7887492556237419,6.865015702904157,0.19667035580077102,0.5346025141593241,-0.27526614899609864,219.0,0.5275229357798165
ETH,Cryptocurrency,1.6291200605942477,1.5877497255764652,0.2460672896948614,0.4527852048660266,-0.5575982155771612,214.0,0.5052192066805845
GOOGL,Stock,1.6792212206158816,5.136975849319364,0.13897905071587022,0.9442472814175397,-0.20669230446714834,228.0,0.5317164179104478
JPM,Stock,0.5806821538115152,1.6791398899530838,0.11596322009227021,0.5446956523936579,-0.22500814621369042,177.0,0.5327868852459017
META,Stock,1.224896535485299,2.691115069455004,0.15399011845824437,0.7156571950783798,-0.1876797455367686,173.0,0.5095541401273885
MSFT,Stock,0.9599154970473855,3.5466580166259707,0.11910641724807358,0.7569125879342933,-0.1376407375982405,213.0,0.5610619469026549
NVDA,Stock,1.7097824080373583,33.422510024919916,0.2381594545094903,0.6342009796778993,-0.32056965051633324,224.0,0.5289855072463768
SOL,Cryptocurrency,1.4373278723454792,29.136153248421977,0.3259000744149926,0.49259189763347117,-0.39481731994049046,140.0,0.5017543859649123
SPY,Stock,0.3131995200176696,1.5718777077982629,0.06528745394584823,0.5477952050430508,-0.08546262888121174,222.0,0.5455927051671733
TSLA,Stock,0.41627451582692054,15.499823989842245,0.24250390623181406,0.2966141385314313,-0.3768621873564874,146.0,0.4962025316455696
V,Stock,0.09855318347894615,1.5105519111573043,0.10515863036890445,0.16326141236522684,-0.23294981247110821,176.0,0.5412371134020618
XRP,Cryptocurrency,1.037944401941902,1.6759825654266085,0.30848918702814865,0.3482823743154031,-0.4995206880798252,150.0,0.5050251256281407
