asset,asset_type,latest_date,latest_close,rolling_return_30,rolling_volatility_30,rolling_return_90,rolling_volatility_90,market_regime
AAPL,Stock,2026-04-28,270.7099914550781,0.6007939104496018,0.2316612490449562,-0.012217097091331832,0.23711486432840806,Mixed Regime
AMZN,Stock,2026-04-28,259.70001220703125,1.7744101758647743,0.33428755690021694,0.47959768321432733,0.30871671956989366,Bullish Regime
BNB,Cryptocurrency,2026-05-06,649.09,0.6930815433098312,0.2624182104153184,0.23776943418412286,0.33889747858115676,Bullish Regime
BTC,Cryptocurrency,2026-05-06,81665.84,1.4803664330628798,0.2989938420254323,0.8109041692270116,0.40516898332698215,Bullish Regime
ETH,Cryptocurrency,2026-05-06,2357.44,1.0284360388756204,0.420179739297186,0.8518583054172896,0.5326342480062435,Bullish Regime
GOOGL,Stock,2026-04-28,349.7799987792969,1.1906283226035932,0.33116209887659753,0.4034618654911276,0.2627160685635282,Bullish Regime
JPM,Stock,2026-04-28,311.45001220703125,0.7352665921673357,0.21822784859405137,-0.008171904285036054,0.2395419296981909,Mixed Regime
META,Stock,2026-04-28,671.3400268554688,0.6686054689165871,0.45453590193861676,0.1330761762637032,0.38740707535680374,Bullish Regime
MSFT,Stock,2026-04-28,429.25,0.6394862167216399,0.3053792783021308,-0.2418057525497947,0.314144861872987,Mixed Regime
NVDA,Stock,2026-04-28,213.1699981689453,1.3341680025287879,0.35126310210373674,0.5719257302598736,0.35524904693331005,Bullish Regime
SOL,Cryptocurrency,2026-05-06,89.2,0.9970143544710957,0.4199039410055157,0.4984439595789557,0.5280978306518547,Bullish Regime
SPY,Stock,2026-04-28,711.6900024414062,0.5342189895942836,0.17322083408432318,0.1417121648466928,0.13857020894221064,Bullish Regime
TSLA,Stock,2026-04-28,376.0199890136719,-0.3300231982654868,0.44569215732320383,-0.6679120573347057,0.3811995101939533,Mixed Regime
V,Stock,2026-04-28,309.29998779296875,-0.003865709063422503,0.19278144236016898,-0.28402950207740346,0.21250085932999496,Stable / Sideways Regime
XRP,Cryptocurrency,2026-05-06,1.4305,0.7130421390607722,0.3045222377155258,0.5777712607298278,0.507448411848643,Bullish Regime
