asset,asset_type,close,technical_signal,forecast_direction,market_regime,risk_score,risk_category,strategy_sharpe,win_rate,correlation_risk,evidence_score,reliability_score,risk_penalty,final_score,final_recommendation,confidence,confidence_level,reason
SPY,Stock,711.6900024414062,BUY,SIDEWAYS,Bullish Regime,3,Low Risk,0.5477952050430508,0.5455927051671733,Moderate Correlation Risk,5.5,1.5,0.0,7.0,CONSERVATIVE STRONG BUY,0.88,High,Strong technical signal; Forecast is neutral/sideways; Acceptable risk-adjusted return; Positive market stance; Bullish market regime; Backtest shows acceptable strategy Sharpe; Backtest win rate is acceptable; Low asset risk; Correlation risk reduces diversification benefit
JPM,Stock,311.45001220703125,BUY,SIDEWAYS,Mixed Regime,5,Moderate Risk,0.5446956523936579,0.5327868852459017,Low Correlation Risk,4.5,1.5,-0.5,6.5,MODERATE STRONG BUY,0.81,High,Strong technical signal; Forecast is neutral/sideways; Acceptable risk-adjusted return; Positive market stance; Backtest shows acceptable strategy Sharpe; Backtest win rate is acceptable; Low correlation improves diversification benefit
MSFT,Stock,429.25,BUY,SIDEWAYS,Mixed Regime,5,Moderate Risk,0.7569125879342933,0.5610619469026549,Moderate Correlation Risk,4.5,2.0,0.5,6.0,MODERATE STRONG BUY,0.75,High,Strong technical signal; Forecast is neutral/sideways; Acceptable risk-adjusted return; Positive market stance; Backtest shows acceptable strategy Sharpe; Backtest win rate is strong; Correlation risk reduces diversification benefit
AAPL,Stock,270.7099914550781,BUY,SIDEWAYS,Mixed Regime,5,Moderate Risk,0.4777578076140255,0.5073375262054507,Low Correlation Risk,4.5,0.5,-0.5,5.5,MODERATE STRONG BUY,0.69,Medium,Strong technical signal; Forecast is neutral/sideways; Acceptable risk-adjusted return; Positive market stance; Backtest win rate is acceptable; Low correlation improves diversification benefit
AMZN,Stock,259.70001220703125,HOLD,SIDEWAYS,Bullish Regime,5,Moderate Risk,0.3926315633283331,0.5121495327102804,Low Correlation Risk,3.5,0.5,-0.5,4.5,CAUTIOUS BUY,0.56,Medium,Mild positive technical signal; Forecast is neutral/sideways; Acceptable risk-adjusted return; Positive market stance; Bullish market regime; Backtest win rate is acceptable; Low correlation improves diversification benefit
BTC,Cryptocurrency,81665.84,BUY,SIDEWAYS,Bullish Regime,9,High Risk,0.5346025141593241,0.5275229357798165,Low Correlation Risk,4.5,1.5,1.5,4.5,SPECULATIVE BUY,0.56,Medium,Positive technical signal; Forecast is neutral/sideways; Acceptable risk-adjusted return; Positive market stance; Bullish market regime; Backtest shows acceptable strategy Sharpe; Backtest win rate is acceptable; Very high asset risk; Low correlation improves diversification benefit
GOOGL,Stock,349.7799987792969,HOLD,SIDEWAYS,Bullish Regime,5,Moderate Risk,0.9442472814175396,0.5317164179104478,Moderate Correlation Risk,3.5,1.5,0.5,4.5,CAUTIOUS BUY,0.56,Medium,Mild positive technical signal; Forecast is neutral/sideways; Acceptable risk-adjusted return; Positive market stance; Bullish market regime; Backtest shows acceptable strategy Sharpe; Backtest win rate is acceptable; Correlation risk reduces diversification benefit
META,Stock,671.3400268554688,HOLD,SIDEWAYS,Bullish Regime,7,High Risk,0.7156571950783798,0.5095541401273885,Low Correlation Risk,3.5,1.5,1.0,4.0,SPECULATIVE BUY,0.5,Medium,Mild positive technical signal; Forecast is neutral/sideways; Acceptable risk-adjusted return; Positive market stance; Bullish market regime; Backtest shows acceptable strategy Sharpe; Backtest win rate is acceptable; High asset risk; Low correlation improves diversification benefit
NVDA,Stock,213.1699981689453,HOLD,SIDEWAYS,Bullish Regime,9,High Risk,0.6342009796778993,0.5289855072463768,Low Correlation Risk,4.0,1.5,1.5,4.0,SPECULATIVE BUY,0.5,Medium,Mild positive technical signal; Forecast is neutral/sideways; Strong historical risk-adjusted return; Positive market stance; Bullish market regime; Backtest shows acceptable strategy Sharpe; Backtest win rate is acceptable; Very high asset risk; Low correlation improves diversification benefit
BNB,Cryptocurrency,649.09,HOLD,SIDEWAYS,Bullish Regime,9,High Risk,0.5002993441623682,0.5408921933085502,Low Correlation Risk,3.5,1.5,1.5,3.5,CAUTIOUS BUY,0.44,Medium,Mild positive technical signal; Forecast is neutral/sideways; Acceptable risk-adjusted return; Positive market stance; Bullish market regime; Backtest shows acceptable strategy Sharpe; Backtest win rate is acceptable; Very high asset risk; Low correlation improves diversification benefit
V,Stock,309.29998779296875,HOLD,SIDEWAYS,Stable / Sideways Regime,5,Moderate Risk,0.1632614123652268,0.5412371134020618,Low Correlation Risk,2.0,0.5,-0.5,3.0,CAUTIOUS BUY,0.38,Low,Technical signal is neutral; Forecast is neutral/sideways; Acceptable risk-adjusted return; Positive market stance; Stable/sideways regime; Backtest win rate is acceptable; Low correlation improves diversification benefit
XRP,Cryptocurrency,1.4305,BUY,SIDEWAYS,Bullish Regime,9,High Risk,0.3482823743154031,0.5050251256281407,Low Correlation Risk,4.0,0.5,1.5,3.0,CAUTIOUS BUY,0.38,Low,Positive technical signal; Forecast is neutral/sideways; Positive market stance; Bullish market regime; Backtest win rate is acceptable; Very high asset risk; Low correlation improves diversification benefit
SOL,Cryptocurrency,89.2,HOLD,SIDEWAYS,Bullish Regime,9,High Risk,0.4925918976334711,0.5017543859649123,Low Correlation Risk,3.5,0.5,1.5,2.5,HIGH-RISK HOLD,0.31,Low,Mild positive technical signal; Forecast is neutral/sideways; Acceptable risk-adjusted return; Positive market stance; Bullish market regime; Backtest win rate is acceptable; Very high asset risk; Low correlation improves diversification benefit
ETH,Cryptocurrency,2357.44,HOLD,SIDEWAYS,Bullish Regime,9,High Risk,0.4527852048660266,0.5052192066805845,Low Correlation Risk,2.0,0.5,1.5,1.0,HIGH-RISK HOLD,0.12,Low,Technical signal is neutral; Forecast is neutral/sideways; Positive market stance; Bullish market regime; Backtest win rate is acceptable; Very high asset risk; Low correlation improves diversification benefit
TSLA,Stock,376.0199890136719,HOLD,SIDEWAYS,Mixed Regime,9,High Risk,0.2966141385314313,0.4962025316455696,Low Correlation Risk,1.5,-0.5,1.5,-0.5,HIGH-RISK HOLD,0.06,Low,Technical signal is neutral; Forecast is neutral/sideways; Acceptable risk-adjusted return; Positive market stance; Backtest win rate is weak; Very high asset risk; Low correlation improves diversification benefit
